variable,run,channel,chi2,dof,p_0
m_vis,355445,ee,77.3730782866,28,0.556458780476 +/- 0.0578181756249
m_vis,355558,ee,325.163661543,36,0.705767723974 +/- 0.0254203018669
m_vis,355559,ee,170.361737335,34,0.736189954877 +/- 0.0341532786848
m_vis,355679,ee,16.6560492062,23,0.958105173143 +/- 0.0663777821443
m_vis,355680,ee,264.838992695,39,0.967255317422 +/- 0.0109357857137
m_vis,355768,ee,12.4637509956,22,0.984364298009 +/- 0.0646913713012
m_vis,355769,ee,127.604012001,39,0.948001625102 +/- 0.019654738123
pt_vis,355443,ee,24.9760551961,19,0.90886194168 +/- 0.0675507080474
pt_vis,355444,ee,32.1221748622,13,0.649094249542 +/- 0.0919081464255
pt_vis,355445,ee,17.6534445509,16,0.933324219428 +/- 0.0758658390252
pt_vis,355558,ee,121.176145171,36,0.890797322387 +/- 0.0285896397753
pt_vis,355559,ee,104.243703263,31,0.841962030898 +/- 0.0366154799255
pt_vis,355679,ee,13.4950130796,20,0.962146031842 +/- 0.0663146983744
pt_vis,355680,ee,152.636153366,38,0.981448681087 +/- 0.0110426049806
pt_vis,355768,ee,19.205283017,19,0.946168549267 +/- 0.0631066981503
pt_vis,355769,ee,49.2880280546,36,0.981265824126 +/- 0.0200521077973
pt_1,355443,ee,23.9851403118,14,0.903382492621 +/- 0.0667772443182
pt_1,355444,ee,27.6065171454,11,0.691052050787 +/- 0.0936995113868
pt_1,355445,ee,28.9385061478,14,0.852287753807 +/- 0.0717599304151
pt_1,355558,ee,152.669821845,27,0.865193354011 +/- 0.02818458373
pt_1,355559,ee,83.524321394,22,0.877739639135 +/- 0.0373768355589
pt_1,355679,ee,17.7436472081,13,0.946858058863 +/- 0.0657704713374
pt_1,355680,ee,186.260874537,38,0.977466037896 +/- 0.0110017125074
pt_1,355768,ee,18.753002484,13,0.949880714693 +/- 0.0632906513223
pt_1,355769,ee,90.5120953839,30,0.967006632363 +/- 0.0198950326366
pt_2,355443,ee,18.88958836,9,0.916423105818 +/- 0.066817406353
pt_2,355444,ee,15.2166790749,5,0.827464947377 +/- 0.101254795252
pt_2,355445,ee,6.09922435505,6,0.974221122607 +/- 0.0760969126239
pt_2,355558,ee,41.3085054721,15,0.964158096634 +/- 0.029688313733
pt_2,355559,ee,23.0350924124,10,0.969149750457 +/- 0.039176679969
pt_2,355679,ee,16.3711427477,10,0.931360014458 +/- 0.0644807973311
pt_2,355680,ee,108.399976049,23,0.987066940046 +/- 0.0110498414056
pt_2,355768,ee,5.67952137714,6,0.990487652559 +/- 0.0641605952968
pt_2,355769,ee,33.358937023,16,0.987632893195 +/- 0.0200738348851
eta_1,355443,ee,42.4956086682,39,0.794707204501 +/- 0.0619609977255
eta_1,355444,ee,19.6289864838,34,0.834005015009 +/- 0.105603244508
eta_1,355445,ee,40.3551704585,36,0.797610582981 +/- 0.0700508335143
eta_1,355558,ee,100.985701684,39,0.907859761237 +/- 0.0287808825127
eta_1,355559,ee,50.8740450577,39,0.91988339361 +/- 0.0380609414693
eta_1,355679,ee,36.5908497251,39,0.837374001222 +/- 0.061005427854
eta_1,355680,ee,57.6402132854,39,0.99287336631 +/- 0.0110796581052
eta_1,355768,ee,44.2979298782,39,0.818451107057 +/- 0.0579163864187
eta_1,355769,ee,36.9093204555,39,0.984959527117 +/- 0.0200341957776
eta_2,355443,ee,60.8205864061,38,0.721297045688 +/- 0.0596583236279
eta_2,355444,ee,18.6335225307,28,1.00351779238 +/- 0.126065222368
eta_2,355445,ee,41.2744302486,36,0.800135820374 +/- 0.0705230849774
eta_2,355558,ee,149.465002835,39,0.863626822231 +/- 0.0280709935203
eta_2,355559,ee,143.953729843,39,0.773301212846 +/- 0.0348969509497
eta_2,355679,ee,48.9138733653,39,0.782605007265 +/- 0.0589766434848
eta_2,355680,ee,53.2141226595,39,0.99342060798 +/- 0.0110827110702
eta_2,355768,ee,34.6229543496,39,0.858102646108 +/- 0.0593027328493
eta_2,355769,ee,33.3989913113,39,0.986389979091 +/- 0.0200487382825
phi_1,355443,ee,42.012759579,39,0.797039808797 +/- 0.0620518642663
phi_1,355444,ee,15.0351125123,36,0.879396275946 +/- 0.108275004171
phi_1,355445,ee,48.7681886663,39,0.713128301963 +/- 0.0647678343353
phi_1,355558,ee,27.1412620752,39,0.975236074749 +/- 0.0298297491913
phi_1,355559,ee,30.6755251728,39,0.951692086342 +/- 0.038713404591
phi_1,355679,ee,68.8627729833,39,0.693943231185 +/- 0.0555355034064
phi_1,355680,ee,57.7096590264,39,0.992863015208 +/- 0.0110809704856
phi_1,355768,ee,69.9585202667,39,0.713284753005 +/- 0.0540675334009
phi_1,355769,ee,45.9723162962,39,0.981258737751 +/- 0.0200005986228
phi_2,355443,ee,34.0677801439,39,0.835421351962 +/- 0.0635283554159
phi_2,355444,ee,20.7014577101,36,0.806220285853 +/- 0.102974252506
phi_2,355445,ee,32.9960659047,39,0.805905494678 +/- 0.0688521645043
phi_2,355558,ee,31.1814839883,39,0.971549740887 +/- 0.0297733184833
phi_2,355559,ee,49.1120694186,39,0.922658158396 +/- 0.0381183023475
phi_2,355679,ee,37.1313786872,39,0.834971650279 +/- 0.0609178554477
phi_2,355680,ee,56.8093055011,39,0.992974362416 +/- 0.0110815918203
phi_2,355768,ee,37.387035716,39,0.846143885942 +/- 0.0590090976435
phi_2,355769,ee,55.3254794033,39,0.977445789073 +/- 0.0199617019074
m_vis,355443,ee,73.0731604049,29,0.657297837531 +/- 0.0567973918475
m_vis,355444,ee,34.4214038241,28,0.601346627026 +/- 0.0871804421743
m_vis,355445,ee,77.3730782866,28,0.556458780476 +/- 0.0578181756249
m_vis,355558,ee,325.163661543,36,0.705767723974 +/- 0.0254203018669
m_vis,355559,ee,170.361737335,34,0.736189954877 +/- 0.0341532786848
m_vis,355679,ee,16.6560492062,23,0.958105173143 +/- 0.0663777821443
m_vis,355680,ee,264.838992695,39,0.967255317422 +/- 0.0109357857137
